index,obj_pos_x,obj_pos_y,obj_pos_z,obj_qtn_0,obj_qtn_1,obj_qtn_2,obj_qtn_3,obs_pos_x,obs_pos_y,obs_pos_z,obs_qtn_0,obs_qtn_1,obs_qtn_2,obs_qtn_3,start_energy,start_gravity_energy,start_elastic_energy,escape_energy_cost
504,0.6511246863824492,0.18144785413445558,1.402973813693076,-0.21431017960431709,0.9684773950333352,0.12203719417279878,0.03506573064747302,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.402973813693076,,,0.9785521431431625
512,0.7101936709506396,0.1638159223236892,1.4087349367578454,-0.21302273245285797,0.9682078735504022,0.11330349217076775,0.06600869423973893,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.4087349367578454,,,0.9711677480636016
520,0.768804654319589,0.149064346138479,1.4225730175604727,-0.2105386401070665,0.9681293080361573,0.1013162997849512,0.09018941923077438,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.4225730175604727,,,0.92871590571782
528,0.8239243275761708,0.13403618412833457,1.433157540273141,-0.2078724793208379,0.9673068362316244,0.08873886952027124,0.11503012630105883,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.433157540273141,,,0.9516153672841248
536,0.8708776648061497,0.11720670154923096,1.4516903047920815,-0.20542055938876536,0.9657076004475601,0.0753253246103179,0.1397759624920271,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.4516903047920815,,,0.9468995670413007
544,0.9132140432305555,0.09944688161009466,1.4720542551753892,-0.2033990854496798,0.9635720379388573,0.06156719480364663,0.16237986409835745,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.4720542551753892,,,0.9173969724252324
552,0.9507825128004889,0.08097557581061623,1.4927746226438954,-0.2017986006292634,0.9609839316191989,0.0476462423794981,0.1830766056624712,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.4927746226438954,,,0.8756413508874807
560,0.9836837831764148,0.06210310050516987,1.5139087540269227,-0.2004942728413274,0.9582316539753001,0.03355853353319894,0.20116651984037826,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.5139087540269227,,,0.8825400454386425
568,1.0130207048094517,0.04325879144444525,1.533486690096379,-0.19933604583083891,0.9555470493712939,0.01927873777669407,0.21638693939347897,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.533486690096379,,,0.8642328427001318
576,1.0394395808973051,0.02477427894417159,1.5505467612831578,-0.19816085456662236,0.9531578805496286,0.004777160861093416,0.22847211908167922,0,0,2,0.6988882962338909,-0.10571078187807806,0.10562663504969944,0.6994450614237633,1.5505467612831578,,,0.8477084685256939
